order_number,customer_id,order_date,status
10100,41,2003-01-06,Shipped
10101,73,2003-01-09,Shipped
10102,12,2003-01-10,Shipped
10103,18,2003-01-29,Shipped
10104,24,2003-01-31,Shipped
10105,49,2003-02-11,Shipped
10106,87,2003-02-17,Shipped
10107,1,2003-02-24,Shipped
10108,67,2003-03-03,Shipped
10109,46,2003-03-10,Shipped
10110,78,2003-03-18,Shipped
10111,9,2003-03-25,Shipped
10112,25,2003-03-24,Shipped
10113,40,2003-03-26,Shipped
10114,63,2003-04-01,Shipped
10115,28,2003-04-04,Shipped
10116,91,2003-04-11,Shipped
10117,27,2003-04-16,Shipped
10118,54,2003-04-21,Shipped
10119,20,2003-04-28,Shipped
10120,11,2003-04-29,Shipped
10121,2,2003-05-07,Shipped
10122,68,2003-05-08,Shipped
10123,47,2003-05-20,Shipped
10124,85,2003-05-21,Shipped
10125,11,2003-05-21,Shipped
10126,26,2003-05-28,Shipped
10127,75,2003-06-03,Shipped
10128,24,2003-06-06,Shipped
10129,50,2003-06-12,Shipped
10130,92,2003-06-16,Shipped
10131,89,2003-06-16,Shipped
10133,24,2003-06-27,Shipped
10134,3,2003-07-01,Shipped
10135,40,2003-07-02,Shipped
10136,52,2003-07-04,Shipped
10137,2,2003-07-10,Shipped
10139,21,2003-07-16,Shipped
10140,6,2003-07-24,Shipped
10141,74,2003-08-01,Shipped
10142,40,2003-08-08,Shipped
10143,51,2003-08-10,Shipped
10144,91,2003-08-13,Shipped
10145,4,2003-08-25,Shipped
10146,89,2003-09-03,Shipped
10147,42,2003-09-05,Shipped
10148,43,2003-09-11,Shipped
10149,83,2003-09-12,Shipped
10150,27,2003-09-19,Shipped
10151,61,2003-09-21,Shipped
