order_number,order_line_number,product_id,quantity,price_each,sales,deal_size
10100,1,79,49,34.47,1689.03,Small
10100,2,27,50,67.80,3390.00,Medium
10100,3,23,30,100.00,5151.00,Medium
10100,4,49,22,86.51,1903.22,Small
10101,1,33,26,100.00,3773.38,Medium
10101,2,63,46,53.76,2472.96,Small
10101,3,60,45,31.20,1404.00,Small
10101,4,29,25,100.00,3782.00,Medium
10102,1,20,41,50.14,2055.74,Small
10102,2,19,39,100.00,4808.31,Medium
10103,1,64,36,100.00,3680.28,Medium
10103,2,30,22,54.09,1189.98,Small
10103,3,84,31,100.00,3224.31,Medium
10103,4,6,42,100.00,5398.26,Medium
10103,5,51,36,100.00,4228.20,Medium
10103,6,102,42,100.00,4460.82,Medium
10103,7,89,45,75.63,3403.35,Medium
10103,8,9,27,100.00,3394.98,Medium
10103,9,52,41,47.29,1938.89,Small
10103,10,17,35,100.00,3920.00,Medium
10103,11,2,26,100.00,5404.62,Medium
10103,12,35,27,83.07,2242.89,Small
10103,13,38,25,100.00,2539.50,Small
10103,14,36,35,57.46,2011.10,Small
10103,15,81,25,100.00,2873.00,Small
10103,16,43,46,100.00,4791.82,Medium
10104,1,11,34,100.00,5958.50,Medium
10104,2,94,32,53.31,1705.92,Small
10104,3,48,38,100.00,5348.50,Medium
10104,4,88,49,65.87,3227.63,Medium
10104,5,80,26,100.00,2921.62,Small
10104,6,56,35,55.49,1942.15,Small
10104,7,93,33,100.00,3705.24,Medium
10104,8,26,24,100.00,3457.92,Medium
10104,9,15,41,100.00,4615.78,Medium
10104,10,67,44,39.60,1742.40,Small
10104,11,87,35,47.62,1666.70,Small
10104,12,28,29,100.00,3772.61,Medium
10104,13,40,23,100.00,4556.99,Medium
10105,1,76,50,79.67,3983.50,Medium
10105,2,5,50,100.00,7208.00,Large
10105,3,101,31,65.77,2038.87,Small
10105,4,71,44,72.58,3193.52,Medium
10105,5,96,41,70.67,2897.47,Small
10105,6,105,39,81.14,3164.46,Medium
10105,7,106,22,100.00,2556.18,Small
10105,8,109,25,56.78,1419.50,Small
10105,9,62,43,100.00,6341.21,Medium
10105,10,50,41,82.50,3382.50,Medium
10105,11,39,22,100.00,3065.04,Medium
