product_id,category_id,product_code,msrp
1,1,S10_1678,95.00
2,2,S10_1949,214.00
3,1,S10_2016,118.00
4,1,S10_4698,193.00
5,2,S10_4757,136.00
6,2,S10_4962,147.00
7,2,S12_1099,194.00
8,2,S12_1108,207.00
9,3,S12_1666,136.00
10,1,S12_2823,150.00
11,2,S12_3148,151.00
12,2,S12_3380,117.00
13,2,S12_3891,173.00
14,2,S12_3990,79.00
15,3,S12_4473,118.00
16,2,S12_4675,115.00
17,3,S18_1097,116.00
18,2,S18_1129,141.00
19,4,S18_1342,102.00
20,4,S18_1367,53.00
21,2,S18_1589,124.00
22,5,S18_1662,157.00
23,4,S18_1749,170.00
24,2,S18_1889,77.00
25,2,S18_1984,142.00
26,2,S18_2238,163.00
27,4,S18_2248,60.00
28,3,S18_2319,122.00
29,4,S18_2325,127.00
30,3,S18_2432,60.00
31,5,S18_2581,84.00
32,1,S18_2625,60.00
33,4,S18_2795,168.00
34,2,S18_2870,132.00
35,4,S18_2949,101.00
36,4,S18_2957,62.00
37,6,S18_3029,86.00
38,4,S18_3136,104.00
39,4,S18_3140,136.00
40,2,S18_3232,169.00
41,7,S18_3259,100.00
42,2,S18_3278,80.00
43,4,S18_3320,99.00
44,2,S18_3482,146.00
45,2,S18_3685,141.00
46,1,S18_3782,62.00
47,4,S18_3856,105.00
48,2,S18_4027,143.00
49,4,S18_4409,92.00
50,4,S18_4522,87.00
